,url
1048,<a href=https://www.zomato.com/bangalore/the-coastal-crew-by-fujian-on-24th-jp-nagar?context=eyJzZSI6eyJlIjpbIjE4NjMxNTc3IiwiNTU0NjAiLCIxODU1MzM3NyIsIjYxNDU0Iiw1NjYzNSwiMTg3NTY2MzEiLCIxODYwNDY4OCIsIjE4NjYzNzgyIiwiMTg2MTk1ODUiLCIxODU0NTA4NSIsIjE4ODcxNzAzIiwiMTg2NTQ0MTUiLCIxODg3MTE3NSIsIjE4NDIyODk0IiwiMTg5MDQwNjYiLCIxODU0Mzk3MSIsIjUxNjg0IiwiMTg2NzU5NzQiLCIxODg5MjQzMyIsIjE4NTQxNDk3IiwiMTg3MjE2NjAiLCI1MDcxMiIsIjE4NjE1OTY4Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>The Coastal Crew By Fujian On 24Th</div></a>
1049,<a href=https://www.zomato.com/bangalore/bib-breakfast-in-the-box-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjU1NDYwIiwiMTg1NTMzNzciLCI2MTQ1NCIsIjU2NjM1IiwxODc1NjYzMSwiMTg2MDQ2ODgiLCIxODY2Mzc4MiIsIjE4NjE5NTg1IiwiMTg1NDUwODUiLCIxODg3MTcwMyIsIjE4NjU0NDE1IiwiMTg4NzExNzUiLCIxODQyMjg5NCIsIjE4OTA0MDY2IiwiMTg1NDM5NzEiLCI1MTY4NCIsIjE4Njc1OTc0IiwiMTg4OTI0MzMiLCIxODU0MTQ5NyIsIjE4NzIxNjYwIiwiNTA3MTIiLCIxODYxNTk2OCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Bib - Breakfast In The Box</div></a>
1050,<a href=https://www.zomato.com/bangalore/angel-restaurant-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NTUzMzc3IiwiNjE0NTQiLCI1NjYzNSIsIjE4NzU2NjMxIiwxODYwNDY4OCwiMTg2NjM3ODIiLCIxODYxOTU4NSIsIjE4NTQ1MDg1IiwiMTg4NzE3MDMiLCIxODY1NDQxNSIsIjE4ODcxMTc1IiwiMTg0MjI4OTQiLCIxODkwNDA2NiIsIjE4NTQzOTcxIiwiNTE2ODQiLCIxODY3NTk3NCIsIjE4ODkyNDMzIiwiMTg1NDE0OTciLCIxODcyMTY2MCIsIjUwNzEyIiwiMTg2MTU5NjgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Angel Restaurant</div></a>
1051,<a href=https://www.zomato.com/bangalore/wow-momo-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjYxNDU0IiwiNTY2MzUiLCIxODc1NjYzMSIsIjE4NjA0Njg4IiwxODY2Mzc4MiwiMTg2MTk1ODUiLCIxODU0NTA4NSIsIjE4ODcxNzAzIiwiMTg2NTQ0MTUiLCIxODg3MTE3NSIsIjE4NDIyODk0IiwiMTg5MDQwNjYiLCIxODU0Mzk3MSIsIjUxNjg0IiwiMTg2NzU5NzQiLCIxODg5MjQzMyIsIjE4NTQxNDk3IiwiMTg3MjE2NjAiLCI1MDcxMiIsIjE4NjE1OTY4Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Wow Momo</div></a>
1052,<a href=https://www.zomato.com/bangalore/pizza-da-dhaba-1-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjU2NjM1IiwiMTg3NTY2MzEiLCIxODYwNDY4OCIsIjE4NjYzNzgyIiwxODYxOTU4NSwiMTg1NDUwODUiLCIxODg3MTcwMyIsIjE4NjU0NDE1IiwiMTg4NzExNzUiLCIxODQyMjg5NCIsIjE4OTA0MDY2IiwiMTg1NDM5NzEiLCI1MTY4NCIsIjE4Njc1OTc0IiwiMTg4OTI0MzMiLCIxODU0MTQ5NyIsIjE4NzIxNjYwIiwiNTA3MTIiLCIxODYxNTk2OCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Pizza Da Dhaba</div></a>
1053,<a href=https://www.zomato.com/bangalore/kalpavruksha-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NzU2NjMxIiwiMTg2MDQ2ODgiLCIxODY2Mzc4MiIsIjE4NjE5NTg1IiwxODU0NTA4NSwiMTg4NzE3MDMiLCIxODY1NDQxNSIsIjE4ODcxMTc1IiwiMTg0MjI4OTQiLCIxODkwNDA2NiIsIjE4NTQzOTcxIiwiNTE2ODQiLCIxODY3NTk3NCIsIjE4ODkyNDMzIiwiMTg1NDE0OTciLCIxODcyMTY2MCIsIjUwNzEyIiwiMTg2MTU5NjgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Kalpavruksha</div></a>
1054,<a href=https://www.zomato.com/bangalore/juice-land-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NjYzNzgyIiwiMTg2MTk1ODUiLCIxODU0NTA4NSIsIjE4ODcxNzAzIiwxODY1NDQxNSwiMTg4NzExNzUiLCIxODQyMjg5NCIsIjE4OTA0MDY2IiwiMTg1NDM5NzEiLCI1MTY4NCIsIjE4Njc1OTc0IiwiMTg4OTI0MzMiLCIxODU0MTQ5NyIsIjE4NzIxNjYwIiwiNTA3MTIiLCIxODYxNTk2OCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Juice Land</div></a>
1055,<a href=https://www.zomato.com/bangalore/tandoor-and-spice-jp-nagar?context=eyJzZSI6eyJlIjpbIjE4NTQ1MDg1IiwiMTg4NzE3MDMiLCIxODY1NDQxNSIsIjE4ODcxMTc1IiwxODQyMjg5NCwiMTg5MDQwNjYiLCIxODU0Mzk3MSIsIjUxNjg0IiwiMTg2NzU5NzQiLCIxODg5MjQzMyIsIjE4NTQxNDk3IiwiMTg3MjE2NjAiLCI1MDcxMiIsIjE4NjE1OTY4IiwiNTkxMDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Tandoor And Spice</div></a>
1056,<a href=https://www.zomato.com/bangalore/rock-stone-ice-cream-factory-1-btm?context=eyJzZSI6eyJlIjpbIjE4NjU0NDE1IiwiMTg4NzExNzUiLCIxODQyMjg5NCIsIjE4OTA0MDY2IiwxODU0Mzk3MSwiNTE2ODQiLCIxODY3NTk3NCIsIjE4ODkyNDMzIiwiMTg1NDE0OTciLCIxODcyMTY2MCIsIjUwNzEyIiwiMTg2MTU5NjgiLCI1OTEwMSIsIjE4NjM0NDE0IiwiMTg2ODk3NTIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Rock Stone Ice Cream Factory</div></a>
1057,<a href=https://www.zomato.com/bangalore/paratha-plaza-jp-nagar?context=eyJzZSI6eyJlIjpbIjE4ODcxMTc1IiwiMTg0MjI4OTQiLCIxODkwNDA2NiIsIjE4NTQzOTcxIiw1MTY4NCwiMTg2NzU5NzQiLCIxODg5MjQzMyIsIjE4NTQxNDk3IiwiMTg3MjE2NjAiLCI1MDcxMiIsIjE4NjE1OTY4IiwiNTkxMDEiLCIxODYzNDQxNCIsIjE4Njg5NzUyIiwiMTg3NjMwMTYiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Paratha Plaza</div></a>
1058,<a href=https://www.zomato.com/bangalore/krishna-vijayashree-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDIyODk0IiwiMTg5MDQwNjYiLCIxODU0Mzk3MSIsIjUxNjg0IiwxODY3NTk3NCwiMTg4OTI0MzMiLCIxODU0MTQ5NyIsIjE4NzIxNjYwIiwiNTA3MTIiLCIxODYxNTk2OCIsIjU5MTAxIiwiMTg2MzQ0MTQiLCIxODY4OTc1MiIsIjE4NzYzMDE2IiwiMTg3MTExOTEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Krishna Vijayashree</div></a>
1059,<a href=https://www.zomato.com/bangalore/soup-station-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4OTA0MDY2IiwiMTg1NDM5NzEiLCI1MTY4NCIsIjE4Njc1OTc0IiwxODg5MjQzMywiMTg1NDE0OTciLCIxODcyMTY2MCIsIjUwNzEyIiwiMTg2MTU5NjgiLCI1OTEwMSIsIjE4NjM0NDE0IiwiMTg2ODk3NTIiLCIxODc2MzAxNiIsIjE4NzExMTkxIiwiMTg3NDYzMzkiLCIxODg3MTcwOCIsIjE4Njg4ODUzIiwiNTQyMzMiLCIxODcyNzQxOCIsIjE4ODIyMzg3IiwiMTg4MDE1NTMiLCIxODkwOTk3OCIsIjE4NTkxOTQ3IiwiMTg4NzE3MDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Soup Station</div></a>
1060,<a href=https://www.zomato.com/bangalore/tasty-point-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NTQzOTcxIiwiNTE2ODQiLCIxODY3NTk3NCIsIjE4ODkyNDMzIiwxODU0MTQ5NywiMTg3MjE2NjAiLCI1MDcxMiIsIjE4NjE1OTY4IiwiNTkxMDEiLCIxODYzNDQxNCIsIjE4Njg5NzUyIiwiMTg3NjMwMTYiLCIxODcxMTE5MSIsIjE4NzQ2MzM5IiwiMTg4NzE3MDgiLCIxODY4ODg1MyIsIjU0MjMzIiwiMTg3Mjc0MTgiLCIxODgyMjM4NyIsIjE4ODAxNTUzIiwiMTg5MDk5NzgiLCIxODU5MTk0NyIsIjE4ODcxNzAxIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Tasty Point</div></a>
1061,<a href=https://www.zomato.com/bangalore/natural-mumbai-kulfi-btm-bangalore?context=eyJzZSI6eyJlIjpbIjUxNjg0IiwiMTg2NzU5NzQiLCIxODg5MjQzMyIsIjE4NTQxNDk3IiwxODcyMTY2MCwiNTA3MTIiLCIxODYxNTk2OCIsIjU5MTAxIiwiMTg2MzQ0MTQiLCIxODY4OTc1MiIsIjE4NzYzMDE2IiwiMTg3MTExOTEiLCIxODc0NjMzOSIsIjE4ODcxNzA4IiwiMTg2ODg4NTMiLCI1NDIzMyIsIjE4NzI3NDE4IiwiMTg4MjIzODciLCIxODgwMTU1MyIsIjE4OTA5OTc4IiwiMTg1OTE5NDciLCIxODg3MTcwMSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Natural Mumbai Kulfi</div></a>
1062,<a href=https://www.zomato.com/bangalore/namma-kudla-jp-nagar?context=eyJzZSI6eyJlIjpbIjE4Njc1OTc0IiwiMTg4OTI0MzMiLCIxODU0MTQ5NyIsIjE4NzIxNjYwIiw1MDcxMiwiMTg2MTU5NjgiLCI1OTEwMSIsIjE4NjM0NDE0IiwiMTg2ODk3NTIiLCIxODc2MzAxNiIsIjE4NzExMTkxIiwiMTg3NDYzMzkiLCIxODg3MTcwOCIsIjE4Njg4ODUzIiwiNTQyMzMiLCIxODcyNzQxOCIsIjE4ODIyMzg3IiwiMTg4MDE1NTMiLCIxODkwOTk3OCIsIjE4NTkxOTQ3IiwiMTg4NzE3MDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Namma Kudla</div></a>
1063,<a href=https://www.zomato.com/bangalore/triveni-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4ODkyNDMzIiwiMTg1NDE0OTciLCIxODcyMTY2MCIsIjUwNzEyIiwxODYxNTk2OCwiNTkxMDEiLCIxODYzNDQxNCIsIjE4Njg5NzUyIiwiMTg3NjMwMTYiLCIxODcxMTE5MSIsIjE4NzQ2MzM5IiwiMTg4NzE3MDgiLCIxODY4ODg1MyIsIjU0MjMzIiwiMTg3Mjc0MTgiLCIxODgyMjM4NyIsIjE4ODAxNTUzIiwiMTg5MDk5NzgiLCIxODU5MTk0NyIsIjE4ODcxNzAxIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Triveni</div></a>
1064,<a href=https://www.zomato.com/bangalore/wangs-kitchen-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NTQxNDk3IiwiMTg3MjE2NjAiLCI1MDcxMiIsIjE4NjE1OTY4Iiw1OTEwMSwiMTg2MzQ0MTQiLCIxODY4OTc1MiIsIjE4NzYzMDE2IiwiMTg3MTExOTEiLCIxODc0NjMzOSIsIjE4ODcxNzA4IiwiMTg2ODg4NTMiLCI1NDIzMyIsIjE4NzI3NDE4IiwiMTg4MjIzODciLCIxODgwMTU1MyIsIjE4OTA5OTc4IiwiMTg1OTE5NDciLCIxODg3MTcwMSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Wangs Kitchen</div></a>
1065,<a href=https://www.zomato.com/bangalore/rk-fresh-food-btm?context=eyJzZSI6eyJlIjpbIjE4NzIxNjYwIiwiNTA3MTIiLCIxODYxNTk2OCIsIjU5MTAxIiwxODYzNDQxNCwiMTg2ODk3NTIiLCIxODc2MzAxNiIsIjE4NzExMTkxIiwiMTg3NDYzMzkiLCIxODg3MTcwOCIsIjE4Njg4ODUzIiwiNTQyMzMiLCIxODcyNzQxOCIsIjE4ODIyMzg3IiwiMTg4MDE1NTMiLCIxODkwOTk3OCIsIjE4NTkxOTQ3IiwiMTg4NzE3MDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Rk Fresh Food</div></a>
1066,<a href=https://www.zomato.com/bangalore/alif-restaurant-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjUwNzEyIiwiMTg2MTU5NjgiLCI1OTEwMSIsIjE4NjM0NDE0IiwxODY4OTc1MiwiMTg3NjMwMTYiLCIxODcxMTE5MSIsIjE4NzQ2MzM5IiwiMTg4NzE3MDgiLCIxODY4ODg1MyIsIjU0MjMzIiwiMTg3Mjc0MTgiLCIxODgyMjM4NyIsIjE4ODAxNTUzIiwiMTg5MDk5NzgiLCIxODU5MTk0NyIsIjE4ODcxNzAxIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Alif Restaurant</div></a>
1067,<a href=https://www.zomato.com/bangalore/dine-one-one-restaurant-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjE1OTY4IiwiNTkxMDEiLCIxODYzNDQxNCIsIjE4Njg5NzUyIiwxODc2MzAxNiwiMTg3MTExOTEiLCIxODc0NjMzOSIsIjE4ODcxNzA4IiwiMTg2ODg4NTMiLCI1NDIzMyIsIjE4NzI3NDE4IiwiMTg4MjIzODciLCIxODgwMTU1MyIsIjE4OTA5OTc4IiwiMTg1OTE5NDciLCIxODg3MTcwMSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Dine One One Restaurant</div></a>
1068,<a href=https://www.zomato.com/bangalore/pallavas-veg-cuisine-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjU5MTAxIiwiMTg2MzQ0MTQiLCIxODY4OTc1MiIsIjE4NzYzMDE2IiwxODcxMTE5MSwiMTg3NDYzMzkiLCIxODg3MTcwOCIsIjE4Njg4ODUzIiwiNTQyMzMiLCIxODcyNzQxOCIsIjE4ODIyMzg3IiwiMTg4MDE1NTMiLCIxODkwOTk3OCIsIjE4NTkxOTQ3IiwiMTg4NzE3MDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Pallavas Veg Cuisine</div></a>
1069,<a href=https://www.zomato.com/bangalore/the-food-cottage-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjM0NDE0IiwiMTg2ODk3NTIiLCIxODc2MzAxNiIsIjE4NzExMTkxIiwxODc0NjMzOSwiMTg4NzE3MDgiLCIxODY4ODg1MyIsIjU0MjMzIiwiMTg3Mjc0MTgiLCIxODgyMjM4NyIsIjE4ODAxNTUzIiwiMTg5MDk5NzgiLCIxODU5MTk0NyIsIjE4ODcxNzAxIiwiMTg2NTc2NTUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>The Food Cottage</div></a>
1070,<a href=https://www.zomato.com/bangalore/brundhavana-pure-veg-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzYzMDE2IiwiMTg3MTExOTEiLCIxODc0NjMzOSIsIjE4ODcxNzA4IiwxODY4ODg1MywiNTQyMzMiLCIxODcyNzQxOCIsIjE4ODIyMzg3IiwiMTg4MDE1NTMiLCIxODkwOTk3OCIsIjE4NTkxOTQ3IiwiMTg4NzE3MDEiLCIxODY1NzY1NSIsIjYwOTkzIiwiMTg2MDYwNTQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Brundhavana Pure Veg</div></a>
1071,<a href=https://www.zomato.com/bangalore/spice-up-jp-nagar?context=eyJzZSI6eyJlIjpbIjE4NzExMTkxIiwiMTg3NDYzMzkiLCIxODg3MTcwOCIsIjE4Njg4ODUzIiw1NDIzMywiMTg3Mjc0MTgiLCIxODgyMjM4NyIsIjE4ODAxNTUzIiwiMTg5MDk5NzgiLCIxODU5MTk0NyIsIjE4ODcxNzAxIiwiMTg2NTc2NTUiLCI2MDk5MyIsIjE4NjA2MDU0IiwiMTg3MzYwNTQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Spice Up</div></a>
1072,<a href=https://www.zomato.com/bangalore/suryawanshi-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODcxNzA4IiwiMTg2ODg4NTMiLCI1NDIzMyIsIjE4NzI3NDE4IiwxODgyMjM4NywiMTg4MDE1NTMiLCIxODkwOTk3OCIsIjE4NTkxOTQ3IiwiMTg4NzE3MDEiLCIxODY1NzY1NSIsIjYwOTkzIiwiMTg2MDYwNTQiLCIxODczNjA1NCIsIjE4NzAxNzEwIiwiMTg2MjIyOTMiLCIxODE3MzA3MCIsIjYxMDQ3IiwiMTg4MDE1ODkiLCIxODgwMTU5NyIsIjE4ODg4NzA5IiwiNTczMTAiLCIxODkzNjAyNCIsIjE4NjgzMjUzIiwiMTgyMTY2ODMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Suryawanshi</div></a>
1073,<a href=https://www.zomato.com/bangalore/tempteys-btm?context=eyJzZSI6eyJlIjpbIjE4NzI3NDE4IiwiMTg4MjIzODciLCIxODgwMTU1MyIsIjE4OTA5OTc4IiwxODU5MTk0NywiMTg4NzE3MDEiLCIxODY1NzY1NSIsIjYwOTkzIiwiMTg2MDYwNTQiLCIxODczNjA1NCIsIjE4NzAxNzEwIiwiMTg2MjIyOTMiLCIxODE3MzA3MCIsIjYxMDQ3IiwiMTg4MDE1ODkiLCIxODgwMTU5NyIsIjE4ODg4NzA5IiwiNTczMTAiLCIxODkzNjAyNCIsIjE4NjgzMjUzIiwiMTgyMTY2ODMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Tempteys</div></a>
1074,<a href=https://www.zomato.com/bangalore/delibox-in-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODAxNTUzIiwiMTg5MDk5NzgiLCIxODU5MTk0NyIsIjE4ODcxNzAxIiwxODY1NzY1NSwiNjA5OTMiLCIxODYwNjA1NCIsIjE4NzM2MDU0IiwiMTg3MDE3MTAiLCIxODYyMjI5MyIsIjE4MTczMDcwIiwiNjEwNDciLCIxODgwMTU4OSIsIjE4ODAxNTk3IiwiMTg4ODg3MDkiLCI1NzMxMCIsIjE4OTM2MDI0IiwiMTg2ODMyNTMiLCIxODIxNjY4MyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Delibox.In</div></a>
1075,<a href=https://www.zomato.com/bangalore/frybies-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4OTA5OTc4IiwiMTg1OTE5NDciLCIxODg3MTcwMSIsIjE4NjU3NjU1Iiw2MDk5MywiMTg2MDYwNTQiLCIxODczNjA1NCIsIjE4NzAxNzEwIiwiMTg2MjIyOTMiLCIxODE3MzA3MCIsIjYxMDQ3IiwiMTg4MDE1ODkiLCIxODgwMTU5NyIsIjE4ODg4NzA5IiwiNTczMTAiLCIxODkzNjAyNCIsIjE4NjgzMjUzIiwiMTgyMTY2ODMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Frybies</div></a>
1076,<a href=https://www.zomato.com/bangalore/crumb-together-jp-nagar?context=eyJzZSI6eyJlIjpbIjE4NTkxOTQ3IiwiMTg4NzE3MDEiLCIxODY1NzY1NSIsIjYwOTkzIiwxODYwNjA1NCwiMTg3MzYwNTQiLCIxODcwMTcxMCIsIjE4NjIyMjkzIiwiMTgxNzMwNzAiLCI2MTA0NyIsIjE4ODAxNTg5IiwiMTg4MDE1OTciLCIxODg4ODcwOSIsIjU3MzEwIiwiMTg5MzYwMjQiLCIxODY4MzI1MyIsIjE4MjE2NjgzIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Crumb Together</div></a>
1077,<a href=https://www.zomato.com/bangalore/the-foodyz-1-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODcxNzAxIiwiMTg2NTc2NTUiLCI2MDk5MyIsIjE4NjA2MDU0IiwxODczNjA1NCwiMTg3MDE3MTAiLCIxODYyMjI5MyIsIjE4MTczMDcwIiwiNjEwNDciLCIxODgwMTU4OSIsIjE4ODAxNTk3IiwiMTg4ODg3MDkiLCI1NzMxMCIsIjE4OTM2MDI0IiwiMTg2ODMyNTMiLCIxODIxNjY4MyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>The Foodyz</div></a>
1078,<a href=https://www.zomato.com/bangalore/bean-der-cafe-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjU3NjU1IiwiNjA5OTMiLCIxODYwNjA1NCIsIjE4NzM2MDU0IiwxODcwMTcxMCwiMTg2MjIyOTMiLCIxODE3MzA3MCIsIjYxMDQ3IiwiMTg4MDE1ODkiLCIxODgwMTU5NyIsIjE4ODg4NzA5IiwiNTczMTAiLCIxODkzNjAyNCIsIjE4NjgzMjUzIiwiMTgyMTY2ODMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Bean D'Er Cafe</div></a>
1079,<a href=https://www.zomato.com/bangalore/chaat-chatore-1-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjYwOTkzIiwiMTg2MDYwNTQiLCIxODczNjA1NCIsIjE4NzAxNzEwIiwxODYyMjI5MywiMTgxNzMwNzAiLCI2MTA0NyIsIjE4ODAxNTg5IiwiMTg4MDE1OTciLCIxODg4ODcwOSIsIjU3MzEwIiwiMTg5MzYwMjQiLCIxODY4MzI1MyIsIjE4MjE2NjgzIiwiMTg3NjEzNTEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Chaat Chatore</div></a>
1080,<a href=https://www.zomato.com/bangalore/black-mug-cafe-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NTA0ODUwIiwiMTg2MTgwOTEiLCIxODUyMDM5MCIsIjE4OTI4NDg4IiwxODE3MzA3MCwiMTg3OTM1OTciLCIxODYxNTg0MyIsIjE4Mzk2OTUyIiwiMTg3Mjk1NjQiLCI1NjI4NyIsIjYwNDgwIiwiMTg2MTI2NzIiLCIxODg4MTYwMSIsIjUzMDc4IiwiMTg3NTA1MjgiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Black Mug Cafe</div></a>
1081,<a href=https://www.zomato.com/bangalore/taste-of-kolkata-btm?context=eyJzZSI6eyJlIjpbIjE4NzM2MDU0IiwiMTg3MDE3MTAiLCIxODYyMjI5MyIsIjE4MTczMDcwIiw2MTA0NywiMTg4MDE1ODkiLCIxODgwMTU5NyIsIjE4ODg4NzA5IiwiNTczMTAiLCIxODkzNjAyNCIsIjE4NjgzMjUzIiwiMTgyMTY2ODMiLCIxODc2MTM1MSIsIjE4ODg3NjA5IiwiMTg0MDc5MTQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Taste Of Kolkata</div></a>
1082,<a href=https://www.zomato.com/bangalore/y-not-restaurant-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzAxNzEwIiwiMTg2MjIyOTMiLCIxODE3MzA3MCIsIjYxMDQ3IiwxODgwMTU4OSwiMTg4MDE1OTciLCIxODg4ODcwOSIsIjU3MzEwIiwiMTg5MzYwMjQiLCIxODY4MzI1MyIsIjE4MjE2NjgzIiwiMTg3NjEzNTEiLCIxODg4NzYwOSIsIjE4NDA3OTE0IiwiMTg3ODA1NjUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Y Not Restaurant</div></a>
1083,<a href=https://www.zomato.com/bangalore/24-7-food-service-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjIyMjkzIiwiMTgxNzMwNzAiLCI2MTA0NyIsIjE4ODAxNTg5IiwxODgwMTU5NywiMTg4ODg3MDkiLCI1NzMxMCIsIjE4OTM2MDI0IiwiMTg2ODMyNTMiLCIxODIxNjY4MyIsIjE4NzYxMzUxIiwiMTg4ODc2MDkiLCIxODQwNzkxNCIsIjE4NzgwNTY1IiwiNTk2OTIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>24/7 Food Service</div></a>
