,url
12,<a href=https://www.zomato.com/bangalore/the-coffee-shack-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTkzMDQ0IiwiMTgxNDg5NDEiLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwxODYzMjk3NywiMTgyMDI5OTciLCI1OTA5MCIsIjE4NTU5MjExIiwiMTgzMjM2MzkiLCIxODU3NDI3NyIsIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>The Coffee Shack</div></a>
13,<a href=https://www.zomato.com/bangalore/caf-eleven-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4MTQ4OTQxIiwiMTg0NzA3NzEiLCIxODcxNjA2MSIsIjE4NjMyOTc3IiwxODIwMjk5NywiNTkwOTAiLCIxODU1OTIxMSIsIjE4MzIzNjM5IiwiMTg1NzQyNzciLCIxODcyMzQ5NCIsIjE4ODY3MTIyIiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>Caf-Eleven</div></a>
14,<a href=https://www.zomato.com/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLDU5MDkwLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19><div>San Churro Cafe</div></a>
15,<a href=https://www.zomato.com/bangalore/cafe-vivacity-banashankari?context=eyJzZSI6eyJlIjpbIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwxODU1OTIxMSwiMTgzMjM2MzkiLCIxODU3NDI3NyIsIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>Cafe Vivacity</div></a>
16,<a href=https://www.zomato.com/bangalore/catch-up-ino-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjMyOTc3IiwiMTgyMDI5OTciLCI1OTA5MCIsIjE4NTU5MjExIiwxODMyMzYzOSwiMTg1NzQyNzciLCIxODcyMzQ5NCIsIjE4ODY3MTIyIiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>Catch-Up-Ino</div></a>
17,<a href=https://www.zomato.com/bangalore/kirthis-biryani-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4MjAyOTk3IiwiNTkwOTAiLCIxODU1OTIxMSIsIjE4MzIzNjM5IiwxODU3NDI3NywiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwiMTg1MjkwOTAiLCI1NjE2NiIsIjYwOTE5IiwiMTgzOTY3NjAiLCIxODU5MzUxOSIsIjE4NTAwMDIwIiwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Kirthi'S Biryani</div></a>
18,<a href=https://www.zomato.com/bangalore/t3h-cafe-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwxODcyMzQ5NCwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>T3H Cafe</div></a>
19,<a href=https://www.zomato.com/bangalore/360-atoms-restaurant-and-cafe-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTU5MjExIiwiMTgzMjM2MzkiLCIxODU3NDI3NyIsIjE4NzIzNDk0IiwxODg2NzEyMiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>360 Atoms Restaurant And Cafe</div></a>
20,<a href=https://www.zomato.com/bangalore/the-vintage-cafe-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzIzNjM5IiwiMTg1NzQyNzciLCIxODcyMzQ5NCIsIjE4ODY3MTIyIiwxODY4ODQ4OSwiMTg1MjkwOTAiLCI1NjE2NiIsIjYwOTE5IiwiMTgzOTY3NjAiLCIxODU5MzUxOSIsIjE4NTAwMDIwIiwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>The Vintage Cafe</div></a>
21,<a href=https://www.zomato.com/bangalore/woodee-pizza-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwxODUyOTA5MCwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>Woodee Pizza</div></a>
22,<a href=https://www.zomato.com/bangalore/cafe-coffee-day-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiw1NjE2NiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>Cafe Coffee Day</div></a>
23,<a href=https://www.zomato.com/bangalore/my-tea-house-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4ODY3MTIyIiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2Iiw2MDkxOSwiMTgzOTY3NjAiLCIxODU5MzUxOSIsIjE4NTAwMDIwIiwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>My Tea House</div></a>
24,<a href=https://www.zomato.com/bangalore/hide-out-cafe-banashankari?context=eyJzZSI6eyJlIjpbIjE4Njg4NDg5IiwiMTg1MjkwOTAiLCI1NjE2NiIsIjYwOTE5IiwxODM5Njc2MCwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>Hide Out Cafe</div></a>
25,<a href=https://www.zomato.com/bangalore/cafe-nova-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwxODU5MzUxOSwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>Cafe Nova</div></a>
26,<a href=https://www.zomato.com/bangalore/coffee-tindi-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwxODUwMDAyMCwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Coffee Tindi</div></a>
27,<a href=https://www.zomato.com/bangalore/sea-green-cafe-1-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjYwOTE5IiwiMTgzOTY3NjAiLCIxODU5MzUxOSIsIjE4NTAwMDIwIiwxODg0NDI2MCwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>Sea Green Cafe</div></a>
28,<a href=https://www.zomato.com/bangalore/cuppa-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiw1Nzk5NCwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>Cuppa</div></a>
29,<a href=https://www.zomato.com/bangalore/srinathjis-cafe-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0Iiw1NTA5MCwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Srinathji'S Cafe</div></a>
30,<a href=https://www.zomato.com/bangalore/redberrys-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4NTAwMDIwIiwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiw1NzQzNV0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>Redberrys</div></a>
31,<a href=https://www.zomato.com/bangalore/foodiction-1-banashankari?context=eyJzZSI6eyJlIjpbNTc2MDEsIjE4NTUxNzA3IiwiMTg0NTc2MDYiLCI1OTA4NiIsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkifX0=><div>Foodiction</div></a>
32,<a href=https://www.zomato.com/bangalore/sweet-truth-banashankari?context=eyJzZSI6eyJlIjpbIjU3NjAxIiwxODU1MTcwNywiMTg0NTc2MDYiLCI1OTA4NiIsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Sweet Truth</div></a>
33,<a href=https://www.zomato.com/bangalore/ovenstory-pizza-banashankari?context=eyJzZSI6eyJlIjpbIjU3NjAxIiwiMTg1NTE3MDciLDE4NDU3NjA2LCI1OTA4NiIsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiLCI1MzYwMSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIn19><div>Ovenstory Pizza</div></a>
34,<a href=https://www.zomato.com/bangalore/faasos-banashankari?context=eyJzZSI6eyJlIjpbIjU3NjAxIiwiMTg1NTE3MDciLCIxODQ1NzYwNiIsNTkwODYsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiLCI1MzYwMSIsIjE4NTY1Njc5Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkifX0=><div>Faasos</div></a>
35,<a href=https://www.zomato.com/bangalore/behrouz-biryani-banashankari?context=eyJzZSI6eyJlIjpbIjU3NjAxIiwiMTg1NTE3MDciLCIxODQ1NzYwNiIsIjU5MDg2IiwxODM1OTkxOCwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiLCI1MzYwMSIsIjE4NTY1Njc5IiwiMTg1NTk4OTciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Behrouz Biryani</div></a>
36,<a href=https://www.zomato.com/bangalore/fast-and-fresh-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTUxNzA3IiwiMTg0NTc2MDYiLCI1OTA4NiIsIjE4MzU5OTE4IiwxODYxODM0MywiNTczMjUiLCI1NTM5NyIsIjE4NTYzMDk3IiwiNTY4ODMiLCIxODMwNzgwNiIsIjU4NjM2IiwiNTM2MDEiLCIxODU2NTY3OSIsIjE4NTU5ODk3IiwiMTg2OTcyMTEiLCI1MjI1NSIsIjUxMzQ4IiwiMTgzNzEyNzIiLCIxODc4MjIwOSIsIjE4Nzg3ODgzIiwiMTgwODk2ODIiLCIxODUyMTkxMiIsIjU2MDk4IiwiMTgwODk2OTMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Fast And Fresh</div></a>
37,<a href=https://www.zomato.com/bangalore/szechuan-dragon-banashankari?context=eyJzZSI6eyJlIjpbIjE4NDU3NjA2IiwiNTkwODYiLCIxODM1OTkxOCIsIjE4NjE4MzQzIiw1NzMyNSwiNTUzOTciLCIxODU2MzA5NyIsIjU2ODgzIiwiMTgzMDc4MDYiLCI1ODYzNiIsIjUzNjAxIiwiMTg1NjU2NzkiLCIxODU1OTg5NyIsIjE4Njk3MjExIiwiNTIyNTUiLCI1MTM0OCIsIjE4MzcxMjcyIiwiMTg3ODIyMDkiLCIxODc4Nzg4MyIsIjE4MDg5NjgyIiwiMTg1MjE5MTIiLCI1NjA5OCIsIjE4MDg5NjkzIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkifX0=><div>Szechuan Dragon</div></a>
38,<a href=https://www.zomato.com/bangalore/empire-restaurant-jayanagar?context=eyJzZSI6eyJlIjpbIjU5MDg2IiwiMTgzNTk5MTgiLCIxODYxODM0MyIsIjU3MzI1Iiw1NTM5NywiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiLCI1MzYwMSIsIjE4NTY1Njc5IiwiMTg1NTk4OTciLCIxODY5NzIxMSIsIjUyMjU1IiwiNTEzNDgiLCIxODM3MTI3MiIsIjE4NzgyMjA5IiwiMTg3ODc4ODMiLCIxODA4OTY4MiIsIjE4NTIxOTEyIiwiNTYwOTgiLCIxODA4OTY5MyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIn19><div>Empire Restaurant</div></a>
39,<a href=https://www.zomato.com/bangalore/maruthi-davangere-benne-dosa-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwxODU2MzA5NywiNTY4ODMiLCIxODMwNzgwNiIsIjU4NjM2IiwiNTM2MDEiLCIxODU2NTY3OSIsIjE4NTU5ODk3IiwiMTg2OTcyMTEiLCI1MjI1NSIsIjUxMzQ4IiwiMTgzNzEyNzIiLCIxODc4MjIwOSIsIjE4Nzg3ODgzIiwiMTgwODk2ODIiLCIxODUyMTkxMiIsIjU2MDk4IiwiMTgwODk2OTMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Maruthi Davangere Benne Dosa</div></a>
